query,answer,rec_api,rank,original_rank
How to subtract X days from a date using Java calendar,['java.util.Calendar.add'],"['java.util.Calendar.add', 'java.time.LocalDate.parse', 'java.util.Date.setDate', 'java.time.YearMonth.lengthOfMonth', 'java.util.Calendar.set', 'java.time.YearMonth.parse', 'java.util.Calendar.getTime', 'java.time.LocalDate.of', 'java.util.GregorianCalendar.getWeekYear', 'java.time.LocalDate.minusDays']",1,1
How do I make my ArrayList Thread-Safe? Another approach to problem in Java,['java.util.Collections.synchronizedList'],"['java.util.Collections.unmodifiableList', 'java.lang.Thread.start', 'java.util.Collections.unmodifiableCollection', 'java.util.concurrent.ConcurrentHashMap.computeIfAbsent', 'java.lang.Thread.interrupted', 'java.lang.Thread.setName', 'java.lang.Thread.currentThread', 'java.lang.Thread.interrupt', 'java.util.Collections.synchronizedSet', 'java.util.Collections.synchronizedList']",10,1
First char to upper case,"['java.lang.String.charAt', 'java.lang.Character.toUpperCase']","['java.lang.String.valueOf', 'java.lang.Integer.parseInt', 'java.beans.Introspector.decapitalize', 'java.lang.String.equalsIgnoreCase', 'java.lang.String.charAt', 'java.lang.String.toCharArray', 'java.lang.Character.toLowerCase', 'java.lang.String.indexOf', 'java.lang.String.toLowerCase', 'java.lang.Character.toUpperCase']",5,3
Grouping elements of a list into sublists (maybe by using guava),['java.util.stream.Collectors.groupingBy'],"['java.util.List.subList', 'java.util.stream.Stream.collect', 'java.util.Arrays.asList', 'java.util.Arrays.sort', 'java.util.Collections.sort', 'java.util.List.listIterator', 'java.util.Set.retainAll', 'java.util.ArrayList.add', 'java.util.ArrayList.addAll', 'java.util.stream.Collectors.groupingBy']",10,1
Escaping special characters in Java Regular Expressions,['java.util.regex.Pattern.quote'],"['java.util.regex.Pattern.quote', 'java.lang.String.replace', 'java.lang.String.substring', 'java.util.regex.Matcher.quoteReplacement', 'java.util.regex.Matcher.find', 'java.util.regex.Matcher.replaceFirst', 'java.lang.String.valueOf', 'java.lang.String.matches', 'java.lang.String.replaceAll', 'java.util.regex.Pattern.compile']",1,2
How do I get localized date pattern string,"['java.text.SimpleDateFormat.toLocalizedPattern', 'java.time.format.DateTimeFormatter.ofLocalizedDate']","['java.time.LocalDate.parse', 'java.time.Instant.toString', 'java.util.Calendar.getTimeInMillis', 'java.text.NumberFormat.getCurrencyInstance', 'java.time.LocalDate.from', 'java.util.Calendar.getTime', 'java.text.DateFormat.getDateInstance', 'java.time.format.DateTimeFormatter.ofLocalizedDate', 'java.text.DateFormat.parse', 'java.util.regex.Pattern.quote']",8,2
Setting the default Java character encoding,"['java.lang.String.getBytes', 'java.nio.charset.Charset.defaultCharset']","['java.lang.String.getBytes', 'java.nio.file.Files.write', 'java.nio.charset.Charset.availableCharsets', 'java.lang.Character.isLowSurrogate', 'java.lang.Character.isHighSurrogate', 'java.util.Base64.getEncoder', 'java.nio.file.Files.newBufferedReader', 'java.nio.charset.Charset.defaultCharset', 'java.lang.String.charAt', 'java.lang.String.indexOf']",1,1
16 bit hex string to signed int in Java,['java.lang.Integer.parseInt'],"['java.lang.Long.toString', 'java.lang.Integer.valueOf', 'java.lang.Long.parseUnsignedLong', 'java.lang.Long.parseLong', 'java.lang.Integer.parseUnsignedInt', 'java.lang.Integer.toHexString', 'java.lang.Integer.parseInt', 'java.lang.Long.toHexString', 'java.lang.Short.parseShort', 'java.lang.Byte.toUnsignedInt']",7,1
Resolving ip-address of a hostname,['java.net.InetAddress.getHostAddress'],"['java.net.URL.equals', 'java.net.NetworkInterface.getNetworkInterfaces', 'java.net.InetSocketAddress.getAddress', 'java.net.InetAddress.getHostAddress', 'java.net.InetAddress.getCanonicalHostName', 'java.net.InetAddress.getByName', 'java.net.InetAddress.getAllByName', 'java.net.InetAddress.getLocalHost', 'java.net.InetAddress.getHostName', 'java.net.InetAddress.toString']",4,3
Splitting a string in java on more than one symbol,['java.lang.String.split'],"['java.lang.String.split', 'java.lang.StringBuilder.codePointAt', 'java.lang.Character.digit', 'java.lang.StringBuilder.appendCodePoint', 'java.util.Arrays.toString', 'java.lang.String.replaceAll', 'java.lang.Integer.parseInt', 'java.lang.String.trim', 'java.util.regex.Pattern.quote', 'java.lang.String.toCharArray']",1,1
How to remove newlines from beginning and end of a string (Java),['java.lang.String.trim'],"['java.lang.String.trim', 'java.lang.String.replaceAll', 'java.lang.String.split', 'java.lang.Long.parseLong', 'java.lang.Integer.parseInt', 'java.lang.String.replace', 'java.lang.StringBuilder.deleteCharAt', 'java.lang.String.substring', 'java.io.BufferedReader.readLine', 'java.lang.String.startsWith']",1,1
How to reverse a list in Java,['java.util.Collections.reverse'],"['java.util.Arrays.binarySearch', 'java.util.Map.keySet', 'java.util.Arrays.asList', 'java.util.List.size', 'java.util.Map.values', 'java.util.Arrays.sort', 'java.util.Collections.reverseOrder', 'java.util.Collections.reverse', 'java.util.Collections.sort', 'java.util.NavigableMap.descendingMap']",8,1
Java Convert File to Byte Array and visa versa,"['java.nio.file.Files.readAllBytes', 'java.nio.file.Files.write']","['java.lang.String.getBytes', 'java.lang.Integer.valueOf', 'java.lang.Double.toString', 'java.lang.Long.valueOf', 'java.nio.ByteBuffer.order', 'java.lang.Integer.toBinaryString', 'java.lang.Byte.parseByte', 'java.util.Arrays.toString', 'java.lang.Integer.parseInt', 'java.io.FileOutputStream.write']",-1,8
How can I get a Unicode character's code,['java.lang.Character.codePointAt'],"['java.lang.Integer.parseInt', 'java.lang.Character.codePointAt', 'java.lang.Character.getNumericValue', 'java.lang.Integer.toBinaryString', 'java.lang.Character.isDigit', 'java.lang.String.indexOf', 'java.lang.Character.UnicodeBlock.of', 'java.lang.Character.isLetterOrDigit', 'java.lang.Character.toString', 'java.lang.Character.toChars']",2,5
Java: How to test on array equality,"['java.util.Arrays.deepEquals', 'java.util.Arrays.equals']","['java.util.Collections.sort', 'java.lang.String.charAt', 'java.lang.Object.hashCode', 'java.lang.Object.equals', 'java.util.AbstractList.equals', 'java.util.Arrays.deepEquals', 'java.util.Arrays.toString', 'java.util.Arrays.equals', 'java.util.Collections.frequency', 'java.util.function.Predicate.isEqual']",6,4
How do I convert from int to String,['java.lang.Integer.toString'],"['java.lang.Integer.toString', 'java.lang.Integer.intValue', 'java.lang.Integer.valueOf', 'java.util.Arrays.toString', 'java.lang.String.valueOf', 'java.lang.Double.parseDouble', 'java.math.BigDecimal.valueOf', 'java.lang.Long.valueOf', 'java.lang.StringBuilder.append', 'java.lang.String.toCharArray']",1,2
convert Object[] from a hashmap keyset to String[],['java.util.Set.toArray'],"['java.lang.Integer.toString', 'java.util.Arrays.asList', 'java.util.List.toArray', 'java.util.Collection.toArray', 'java.math.BigInteger.toString', 'java.util.Map.values', 'java.util.AbstractCollection.toArray', 'java.util.Arrays.toString', 'java.lang.Integer.valueOf', 'java.lang.String.toCharArray']",-1,4
Fastest way to create new array with length N and fill it by repeating a given array,['java.lang.System.arraycopy'],"['java.nio.ByteBuffer.put', 'java.util.Arrays.fill', 'java.util.Collections.shuffle', 'java.util.ArrayList.add', 'java.lang.System.arraycopy', 'java.util.Collections.nCopies', 'java.util.List.toArray', 'java.util.Arrays.sort', 'java.util.Arrays.asList', 'java.util.Arrays.copyOfRange']",5,4
How to measure time taken by Java code,['java.lang.System.nanoTime'],"['java.lang.System.gc', 'java.time.Duration.to0os', 'java.lang.System.0oTime', 'java.util.Arrays.sort', 'java.lang.Runtime.getRuntime', 'java.time.Duration.toMillis', 'java.time.Instant.now', 'java.lang.Process.waitFor', 'java.lang.System.currentTimeMillis', 'java.lang.Thread.sleep']",-1,2
Java string align to right,['java.lang.String.format'],"['java.awt.Window.setLocationRelativeTo', 'javax.swing.Scrollable.getScrollableTracksViewportWidth', 'javax.swing.AbstractButton.setHorizontalTextPosition', 'java.lang.String.split', 'javax.swing.JLabel.setHorizontalTextPosition', 'java.lang.String.format', 'javax.swing.JLabel.setHorizontalAlignment', 'javax.swing.AbstractButton.setVerticalTextPosition', 'javax.swing.AbstractButton.setVerticalAlignment', 'javax.swing.AbstractButton.setHorizontalAlignment']",6,6
How to split a comma-separated string,"['java.lang.String.split', 'java.util.Arrays.asList']","['java.lang.String.split', 'java.lang.String.contains', 'java.util.regex.Pattern.split', 'java.lang.String.lastIndexOf', 'java.lang.String.replaceAll', 'java.util.Arrays.deepToString', 'java.util.regex.Pattern.quote', 'java.lang.String.join', 'java.lang.String.format', 'java.util.Arrays.toString']",1,2
toString java of arrays,['java.util.Arrays.toString'],"['java.io.PrintStream.println', 'java.lang.Class.getName', 'java.io.PrintWriter.println', 'java.lang.Object.toString', 'java.util.Arrays.deepToString', 'java.lang.Object.hashCode', 'java.util.AbstractCollection.toString', 'java.lang.String.valueOf', 'java.util.Arrays.toString', 'java.util.Arrays.equals']",9,1
How to find the exact word using a regex in Java,['java.util.regex.Matcher.find'],"['java.util.regex.Matcher.find', 'java.lang.String.indexOf', 'java.lang.String.contains', 'java.lang.String.split', 'java.lang.String.replaceAll', 'java.util.regex.Pattern.quote', 'java.lang.String.matches', 'java.util.regex.Pattern.compile', 'java.lang.String.replaceFirst', 'java.util.regex.Matcher.quoteReplacement']",1,4
Remove all non alphabetic characters from a String array in java,['java.lang.String.replaceAll'],"['java.lang.String.replaceAll', 'java.lang.String.trim', 'java.lang.String.charAt', 'java.lang.String.valueOf', 'java.lang.Character.isDigit', 'java.util.Arrays.fill', 'java.lang.String.replace', 'java.lang.String.indexOf', 'java.lang.String.toCharArray', 'java.lang.StringBuilder.deleteCharAt']",1,7
Java reflection get all private fields,['java.lang.reflect.Field.getType'],"['java.lang.reflect.Field.getType', 'java.lang.reflect.Field.set', 'java.lang.reflect.Field.get', 'java.lang.reflect.Field.getModifiers', 'java.lang.Class.getMethod', 'java.lang.Class.getFields', 'java.lang.Class.getField', 'java.lang.Class.getDeclaredFields', 'java.lang.Class.getDeclaredClasses', 'java.lang.Class.getDeclaredMethods']",1,3
How to get the current date and time of your timezone in Java,['java.util.TimeZone.getDefault'],"['java.util.Date.toString', 'java.lang.System.currentTimeMillis', 'java.text.DateFormat.format', 'java.time.Instant.now', 'java.util.TimeZone.setDefault', 'java.util.TimeZone.getDefault', 'java.time.LocalDate.now', 'java.time.ZonedDateTime.now', 'java.time.LocalDateTime.now', 'java.util.Calendar.getInstance']",6,6
How can I get screen resolution in java,"['java.awt.Toolkit.getScreenResolution', 'java.awt.Toolkit.getScreenSize']","['java.awt.Graphics.fillRect', 'java.time.Clock.tick', 'java.time.Clock.tickMinutes', 'java.awt.GraphicsConfiguration.getBounds', 'java.awt.Image.getScaledInstance', 'java.awt.image.BufferedImage.getWidth', 'javax.swing.JFrame.getContentPane', 'java.awt.image.BufferedImage.getHeight', 'java.awt.Toolkit.getScreenInsets', 'java.awt.Component.getLocationOnScreen']",-1,1
Java: join array of primitives with separator,['java.lang.String.join'],"['java.util.stream.Collectors.toList', 'java.lang.System.arraycopy', 'java.util.Arrays.equals', 'java.util.stream.Collectors.joining', 'java.util.Arrays.asList', 'java.lang.String.split', 'java.util.Arrays.toString', 'java.util.Arrays.deepToString', 'java.util.Arrays.stream', 'java.lang.String.join']",10,1
How to instantiate inner class with reflection in Java,['java.lang.Class.getDeclaredConstructor'],"['java.lang.Class.getDeclaredConstructor', 'java.lang.Class.newInstance', 'java.lang.reflect.Constructor.newInstance', 'java.lang.Class.forName', 'java.lang.reflect.Field.get', 'java.lang.reflect.Method.invoke', 'java.lang.reflect.Field.getType', 'java.lang.Class.cast', 'java.lang.Class.getDeclaredMethods', 'java.lang.Class.getConstructor']",1,3
How to wrap text in a JTextArea,['javax.swing.JTextArea.setLineWrap'],"['javax.swing.JOptionPane.showMessageDialog', 'javax.swing.text.JTextComponent.moveCaretPosition', 'javax.swing.JEditorPane.setContentType', 'javax.swing.text.JTextComponent.setCaretPosition', 'javax.swing.JTextPane.insertComponent', 'javax.swing.text.JTextComponent.getText', 'javax.swing.text.JTextComponent.selectAll', 'javax.swing.JTextArea.insert', 'javax.swing.text.JTextComponent.getCaretPosition', 'javax.swing.text.Document.getText']",-1,1
How to convert Integer to int,['java.lang.Integer.intValue'],"['java.lang.Integer.toString', 'java.lang.Integer.valueOf', 'java.lang.Long.valueOf', 'java.lang.String.valueOf', 'java.lang.Double.toString', 'java.lang.StringBuilder.append', 'java.lang.Byte.toUnsignedInt', 'java.lang.Integer.parseInt', 'java.lang.Double.parseDouble', 'java.lang.Math.round']",-1,10
Grouping by List of Map in Java 8,['java.util.stream.Collectors.groupingBy'],"['java.util.Map.merge', 'java.util.stream.Collectors.reducing', 'java.util.Map.getOrDefault', 'java.util.Collections.singletonMap', 'java.util.Collections.sort', 'java.util.Arrays.asList', 'java.util.stream.Collectors.toMap', 'java.util.stream.Collectors.mapping', 'java.util.stream.Collectors.groupingBy', 'java.util.Map.Entry.comparingByValue']",9,1
How to sort by two fields in Java,"['java.util.Collections.sort', 'java.lang.String.compareTo']","['java.util.Arrays.deepEquals', 'java.util.Arrays.equals', 'java.util.Collections.sort', 'java.lang.System.arraycopy', 'java.util.Comparator.comparing', 'java.util.Arrays.sort', 'java.util.Comparator.comparingInt', 'java.util.Collections.reverse', 'java.util.Arrays.copyOf', 'java.lang.String.compareTo']",3,1
Getting a list of accessible methods for a given class via reflection,"['java.lang.Class.getMethods', 'java.lang.Class.getDeclaredMethods']","['java.lang.Class.getDeclaredMethods', 'java.lang.Class.forName', 'java.lang.Class.getDeclaredMethod', 'java.lang.reflect.Field.getType', 'java.lang.Class.getDeclaredFields', 'java.lang.Class.getMethod', 'java.lang.reflect.Field.get', 'java.lang.Class.cast', 'java.lang.reflect.Field.set', 'java.lang.reflect.Method.getGenericReturnType']",1,3
How do I format a long integer as a string without separator in Java,['java.lang.Long.toString'],"['java.lang.Integer.parseInt', 'java.text.DecimalFormat.format', 'java.lang.String.format', 'java.lang.Long.toHexString', 'java.lang.Long.valueOf', 'java.lang.Integer.valueOf', 'java.lang.StringBuilder.append', 'java.lang.String.toCharArray', 'java.lang.Long.intValue', 'java.lang.Long.parseLong']",-1,8
How to get system time in Java without creating a new Date,"['java.lang.System.currentTimeMillis', 'java.util.Date.setTime']","['java.util.TimeZone.getDefault', 'java.time.LocalDate.now', 'java.lang.System.currentTimeMillis', 'java.time.LocalDateTime.now', 'java.time.ZonedDateTime.now', 'java.util.Calendar.getInstance', 'java.time.OffsetDateTime.now', 'java.time.Instant.now', 'java.time.ZonedDateTime.of', 'java.util.GregorianCalendar.setGregorianChange']",3,6
How to loop over a Class attributes in Java,['java.lang.Class.getDeclaredFields'],"['java.lang.Class.getDeclaredFields', 'java.util.List.iterator', 'java.util.List.listIterator', 'java.lang.Class.getFields', 'java.lang.reflect.Field.get', 'java.lang.Class.forName', 'java.lang.reflect.Field.getType', 'java.util.HashMap.values', 'java.util.HashMap.keySet', 'java.util.Map.values']",1,1
Calculate whether an IP address is in a specified range in Java,['java.net.InetAddress.getByName'],"['java.net.InetAddress.getByName', 'java.net.InetAddress.getLocalHost', 'java.net.InetAddress.getAllByName', 'java.net.InetAddress.getHostAddress', 'java.net.InetAddress.getCanonicalHostName', 'java.rmi.registry.LocateRegistry.getRegistry', 'java.net.NetworkInterface.getNetworkInterfaces', 'java.net.InetAddress.toString', 'java.net.InetAddress.getHostName', 'java.net.InetAddress.isReachable']",1,1
Comparing strings with == which are declared final in Java,['java.lang.String.intern'],"['java.util.Arrays.equals', 'java.lang.String.equals', 'java.lang.String.intern', 'java.lang.Integer.equals', 'java.util.List.equals', 'java.util.Arrays.toString', 'java.lang.Long.valueOf', 'java.lang.Integer.valueOf', 'java.lang.Object.equals', 'java.lang.String.equalsIgnoreCase']",3,1
Java8 java.util.Date conversion to java.time.ZonedDateTime,"['java.time.ZonedDateTime.ofInstant', 'java.util.Date.toInstant']","['java.util.Date.toInstant', 'java.time.LocalDateTime.of', 'java.time.LocalDateTime.parse', 'java.sql.Date.valueOf', 'java.time.LocalDateTime.atZone', 'java.time.ZonedDateTime.parse', 'java.time.LocalDate.parse', 'java.util.Date.from', 'java.text.DateFormat.format', 'java.time.ZoneId.systemDefault']",1,4
How to see if an object is an array without using reflection,"['java.util.Arrays.toString', 'java.lang.Class.isArray']","['java.lang.Class.isArray', 'java.lang.Class.getComponentType', 'java.lang.Class.asSubclass', 'java.lang.reflect.Field.get', 'java.lang.Class.isAssignableFrom', 'java.lang.reflect.Array.set', 'java.lang.reflect.Method.getGenericReturnType', 'java.lang.Class.newInstance', 'java.util.List.toArray', 'java.util.Collection.iterator']",1,1
Elegant way to read file into byte[] array in Java,['java.nio.file.Files.readAllBytes'],"['java.nio.file.Files.readAllBytes', 'java.nio.file.Files.write', 'java.io.FileInputStream.read', 'java.nio.file.Files.readAllLines', 'java.io.InputStream.read', 'java.io.BufferedReader.read', 'java.io.DataInputStream.readFully', 'java.nio.channels.FileChannel.read', 'java.nio.file.Files.lines', 'java.nio.ByteBuffer.getLong']",1,1
Java parse a number in exponential notation,['java.lang.Double.valueOf'],"['java.lang.Double.valueOf', 'java.lang.Integer.parseInt', 'java.math.BigDecimal.toEngineeringString', 'java.math.BigDecimal.toString', 'java.math.BigDecimal.toPlainString', 'java.lang.Double.toString', 'java.lang.Long.parseLong', 'java.lang.Integer.valueOf', 'java.lang.Math.pow', 'java.lang.String.format']",1,2
How to sort file names in ascending order,"['java.util.Collections.sort', 'java.util.Arrays.sort']","['java.util.Collections.reverseOrder', 'java.util.Collections.sort', 'java.lang.System.arraycopy', 'java.util.Collections.reverse', 'java.util.stream.Collectors.toList', 'java.util.Arrays.sort', 'java.lang.String.compareTo', 'java.lang.Comparable.compareTo', 'java.util.stream.IntStream.collect', 'java.lang.Integer.valueOf']",2,1
"How do you get the ""object reference"" of an object in java when toString() and hashCode() have been overridden","['java.lang.Object.hashCode', 'java.lang.System.identityHashCode']","['java.lang.System.identityHashCode', 'java.lang.Object.toString', 'java.io.PrintStream.println', 'java.lang.String.valueOf', 'java.util.Arrays.toString', 'java.util.Arrays.deepToString', 'java.lang.Class.getMethod', 'java.lang.Object.equals', 'java.lang.Object.hashCode', 'java.awt.Point.equals']",1,1
How to count the number of 1's a number will have in binary,['java.lang.Integer.bitCount'],"['java.lang.Integer.bitCount', 'org.omg.CORBA.portable.InputStream.read', 'java.lang.Long.toBinaryString', 'java.lang.Integer.toBinaryString', 'java.io.InputStream.read', 'java.lang.Double.doubleToLongBits', 'java.lang.Character.isDigit', 'java.lang.Character.getNumericValue', 'java.lang.String.split', 'java.util.BitSet.toByteArray']",1,2
How to get the current Time and TimeZone from Locale,"['java.util.TimeZone.getDefault', 'java.util.Locale.getDefault']","['java.util.TimeZone.getDefault', 'java.util.TimeZone.getTimeZone', 'java.util.TimeZone.getAvailableIDs', 'java.util.Calendar.getInstance', 'java.time.Instant.now', 'java.time.ZonedDateTime.now', 'java.time.ZonedDateTime.withZoneSameLocal', 'java.util.TimeZone.setRawOffset', 'java.time.LocalDateTime.now', 'java.time.ZoneId.systemDefault']",1,8
How to use Scanner to accept only valid int as input,['java.util.Scanner.hasNextInt'],"['java.util.Scanner.hasNextInt', 'java.util.Scanner.nextInt', 'java.util.Scanner.useDelimiter', 'java.util.Scanner.hasNext', 'java.lang.Integer.parseInt', 'java.io.BufferedReader.read', 'java.util.Scanner.next', 'java.lang.Integer.valueOf', 'java.util.Scanner.nextLine', 'java.util.Arrays.fill']",1,1
How to test a Class.forName call in Java code,['java.lang.Class.forName'],"['java.lang.Class.forName', 'java.lang.ClassLoader.loadClass', 'java.sql.DriverManager.registerDriver', 'java.lang.ClassLoader.findClass', 'java.lang.invoke.MethodHandles.lookup', 'java.lang.Class.getInterfaces', 'java.lang.Class.newInstance', 'java.lang.Class.getResourceAsStream', 'java.lang.Class.getConstructor', 'java.lang.Class.getDeclaredConstructors']",1,1
How to print the address of an object if you have redefined toString method,"['java.lang.System.identityHashCode', 'java.lang.Object.toString']","['java.lang.System.identityHashCode', 'java.lang.Object.toString', 'java.lang.Class.getFields', 'java.lang.Object.hashCode', 'java.util.Arrays.deepToString', 'java.util.Arrays.toString', 'java.lang.Class.getDeclaredFields', 'java.lang.String.valueOf', 'java.lang.reflect.Field.getType', 'java.lang.reflect.Field.get']",1,3
How to get all possible values of an enum in java? (not knowing the specific Enum),['java.lang.Class.getEnumConstants'],"['java.lang.Enum.valueOf', 'java.lang.Class.getEnumConstants', 'java.util.EnumSet.allOf', 'java.lang.Class.isEnum', 'java.util.Arrays.fill', 'java.util.EnumSet.of', 'java.lang.Class.isInstance', 'java.util.EnumSet.range', 'java.lang.Class.getDeclaredConstructors', 'java.lang.Enum.name']",2,2
Best way to exit a program when I want an exception to be thrown,['java.lang.System.exit'],"['java.lang.Runtime.addShutdownHook', 'javax.swing.JFrame.setDefaultCloseOperation', 'java.lang.Thread.interrupt', 'java.nio.file.Path.toAbsolutePath', 'java.awt.event.WindowListener.windowClosing', 'java.util.concurrent.Future.get', 'java.lang.Thread.currentThread', 'java.util.concurrent.Future.isCancelled', 'java.lang.System.exit', 'java.lang.Thread.stop']",9,2
Double value to round up in Java,['java.lang.Double.parseDouble'],"['java.math.BigDecimal.setScale', 'java.lang.Math.round', 'java.lang.Math.ceil', 'java.lang.Number.intValue', 'java.lang.Math.floor', 'java.math.BigDecimal.valueOf', 'java.lang.Double.toString', 'java.text.DecimalFormat.setRoundingMode', 'java.math.BigDecimal.divide', 'java.lang.Double.valueOf']",-1,8
Make a negative number positive,['java.lang.Math.abs'],"['java.lang.Math.pow', 'java.lang.Math.abs', 'java.lang.Math.cbrt', 'java.lang.Math.min', 'java.lang.Float.floatToRawIntBits', 'java.lang.Integer.parseInt', 'java.lang.Float.floatToIntBits', 'java.lang.String.indexOf', 'java.lang.String.compareTo', 'java.util.Arrays.sort']",2,1
Get string character by index - Java,"['java.lang.Character.toString', 'java.lang.String.charAt']","['java.lang.Character.toString', 'java.lang.String.charAt', 'java.lang.String.indexOf', 'java.lang.String.toCharArray', 'java.lang.String.lastIndexOf', 'java.lang.StringBuilder.charAt', 'java.lang.Character.codePointAt', 'java.util.Arrays.toString', 'java.lang.String.valueOf', 'java.lang.Integer.parseInt']",1,7
"How to use ""cd"" command using Java runtime","['java.lang.ProcessBuilder.directory', 'java.lang.Runtime.exec']","['java.lang.Runtime.exec', 'javax.swing.JOptionPane.showMessageDialog', 'java.lang.Process.waitFor', 'java.lang.Runtime.getRuntime', 'java.lang.ProcessBuilder.directory', 'java.io.File.mkdir', 'java.nio.file.spi.FileSystemProvider.createSymbolicLink', 'java.io.File.delete', 'java.io.File.list', 'java.io.File.listFiles']",1,1
How to get the insert ID in JDBC,"['java.sql.Statement.getGeneratedKeys', 'java.sql.Statement.RETURN']","['java.sql.Connection.prepareStatement', 'java.sql.DatabaseMetaData.getUserName', 'java.sql.Statement.getGeneratedKeys', 'java.sql.Statement.executeUpdate', 'java.sql.Connection.getMetaData', 'java.sql.Connection.getSchema', 'java.sql.PreparedStatement.setTime', 'java.sql.PreparedStatement.setTimestamp', 'java.sql.PreparedStatement.setObject', 'java.sql.PreparedStatement.setDate']",3,2
How to scan a folder in Java,"['java.nio.file.Files.newDirectoryStream', 'java.io.File.listFiles']","['java.io.File.listFiles', 'java.nio.file.Files.deleteIfExists', 'java.io.File.list', 'java.nio.file.Files.createDirectory', 'java.nio.file.Files.createDirectories', 'java.nio.file.Files.newDirectoryStream', 'java.io.File.mkdir', 'java.nio.file.Files.createTempDirectory', 'java.nio.file.Files.copy', 'java.io.File.mkdirs']",1,3
