query,answer,rec_api,rank,original_rank
Java Convert File to Byte Array and visa versa,"['java.nio.file.Files.readAllBytes', 'java.nio.file.Files.write']","['java.lang.String.getBytes', 'java.lang.Integer.valueOf', 'java.lang.Double.toString', 'java.lang.Long.valueOf', 'java.nio.ByteBuffer.order', 'java.lang.Integer.toBinaryString', 'java.lang.Byte.parseByte', 'java.util.Arrays.toString', 'java.lang.Integer.parseInt', 'java.io.FileOutputStream.write']",-1,-1
How can I get a Unicode character's code,['java.lang.Character.codePointAt'],"['java.lang.Integer.parseInt', 'java.lang.Character.codePointAt', 'java.lang.Character.getNumericValue', 'java.lang.Integer.toBinaryString', 'java.lang.Character.isDigit', 'java.lang.String.indexOf', 'java.lang.Character.UnicodeBlock.of', 'java.lang.Character.isLetterOrDigit', 'java.lang.Character.toString', 'java.lang.Character.toChars']",2,5
Java: How to test on array equality,"['java.util.Arrays.deepEquals', 'java.util.Arrays.equals']","['java.util.Collections.sort', 'java.lang.String.charAt', 'java.lang.Object.hashCode', 'java.lang.Object.equals', 'java.util.AbstractList.equals', 'java.util.Arrays.deepEquals', 'java.util.Arrays.toString', 'java.util.Arrays.equals', 'java.util.Collections.frequency', 'java.util.function.Predicate.isEqual']",6,4
convert Object[] from a hashmap keyset to String[],['java.util.Set.toArray'],"['java.lang.Integer.toString', 'java.util.Arrays.asList', 'java.util.List.toArray', 'java.util.Collection.toArray', 'java.math.BigInteger.toString', 'java.util.Map.values', 'java.util.AbstractCollection.toArray', 'java.util.Arrays.toString', 'java.lang.Integer.valueOf', 'java.lang.String.toCharArray']",-1,-1
Fastest way to create new array with length N and fill it by repeating a given array,['java.lang.System.arraycopy'],"['java.nio.ByteBuffer.put', 'java.util.Arrays.fill', 'java.util.Collections.shuffle', 'java.util.ArrayList.add', 'java.lang.System.arraycopy', 'java.util.Collections.nCopies', 'java.util.List.toArray', 'java.util.Arrays.sort', 'java.util.Arrays.asList', 'java.util.Arrays.copyOfRange']",5,4
How to measure time taken by Java code,['java.lang.System.nanoTime'],"['java.lang.System.gc', 'java.time.Duration.to0os', 'java.lang.System.0oTime', 'java.util.Arrays.sort', 'java.lang.Runtime.getRuntime', 'java.time.Duration.toMillis', 'java.time.Instant.now', 'java.lang.Process.waitFor', 'java.lang.System.currentTimeMillis', 'java.lang.Thread.sleep']",-1,-1
Java string align to right,['java.lang.String.format'],"['java.awt.Window.setLocationRelativeTo', 'javax.swing.Scrollable.getScrollableTracksViewportWidth', 'javax.swing.AbstractButton.setHorizontalTextPosition', 'java.lang.String.split', 'javax.swing.JLabel.setHorizontalTextPosition', 'java.lang.String.format', 'javax.swing.JLabel.setHorizontalAlignment', 'javax.swing.AbstractButton.setVerticalTextPosition', 'javax.swing.AbstractButton.setVerticalAlignment', 'javax.swing.AbstractButton.setHorizontalAlignment']",6,6
toString java of arrays,['java.util.Arrays.toString'],"['java.io.PrintStream.println', 'java.lang.Class.getName', 'java.io.PrintWriter.println', 'java.lang.Object.toString', 'java.util.Arrays.deepToString', 'java.lang.Object.hashCode', 'java.util.AbstractCollection.toString', 'java.lang.String.valueOf', 'java.util.Arrays.toString', 'java.util.Arrays.equals']",9,1
How to get the current date and time of your timezone in Java,['java.util.TimeZone.getDefault'],"['java.util.Date.toString', 'java.lang.System.currentTimeMillis', 'java.text.DateFormat.format', 'java.time.Instant.now', 'java.util.TimeZone.setDefault', 'java.util.TimeZone.getDefault', 'java.time.LocalDate.now', 'java.time.ZonedDateTime.now', 'java.time.LocalDateTime.now', 'java.util.Calendar.getInstance']",6,6
How can I get screen resolution in java,"['java.awt.Toolkit.getScreenResolution', 'java.awt.Toolkit.getScreenSize']","['java.awt.Graphics.fillRect', 'java.time.Clock.tick', 'java.time.Clock.tickMinutes', 'java.awt.GraphicsConfiguration.getBounds', 'java.awt.Image.getScaledInstance', 'java.awt.image.BufferedImage.getWidth', 'javax.swing.JFrame.getContentPane', 'java.awt.image.BufferedImage.getHeight', 'java.awt.Toolkit.getScreenInsets', 'java.awt.Component.getLocationOnScreen']",-1,-1
Java: join array of primitives with separator,['java.lang.String.join'],"['java.util.stream.Collectors.toList', 'java.lang.System.arraycopy', 'java.util.Arrays.equals', 'java.util.stream.Collectors.joining', 'java.util.Arrays.asList', 'java.lang.String.split', 'java.util.Arrays.toString', 'java.util.Arrays.deepToString', 'java.util.Arrays.stream', 'java.lang.String.join']",10,1
How to wrap text in a JTextArea,['javax.swing.JTextArea.setLineWrap'],"['javax.swing.JOptionPane.showMessageDialog', 'javax.swing.text.JTextComponent.moveCaretPosition', 'javax.swing.JEditorPane.setContentType', 'javax.swing.text.JTextComponent.setCaretPosition', 'javax.swing.JTextPane.insertComponent', 'javax.swing.text.JTextComponent.getText', 'javax.swing.text.JTextComponent.selectAll', 'javax.swing.JTextArea.insert', 'javax.swing.text.JTextComponent.getCaretPosition', 'javax.swing.text.Document.getText']",-1,-1
How to convert Integer to int,['java.lang.Integer.intValue'],"['java.lang.Integer.toString', 'java.lang.Integer.valueOf', 'java.lang.Long.valueOf', 'java.lang.String.valueOf', 'java.lang.Double.toString', 'java.lang.StringBuilder.append', 'java.lang.Byte.toUnsignedInt', 'java.lang.Integer.parseInt', 'java.lang.Double.parseDouble', 'java.lang.Math.round']",-1,-1
Grouping by List of Map in Java 8,['java.util.stream.Collectors.groupingBy'],"['java.util.Map.merge', 'java.util.stream.Collectors.reducing', 'java.util.Map.getOrDefault', 'java.util.Collections.singletonMap', 'java.util.Collections.sort', 'java.util.Arrays.asList', 'java.util.stream.Collectors.toMap', 'java.util.stream.Collectors.mapping', 'java.util.stream.Collectors.groupingBy', 'java.util.Map.Entry.comparingByValue']",9,1
How to sort by two fields in Java,"['java.util.Collections.sort', 'java.lang.String.compareTo']","['java.util.Arrays.deepEquals', 'java.util.Arrays.equals', 'java.util.Collections.sort', 'java.lang.System.arraycopy', 'java.util.Comparator.comparing', 'java.util.Arrays.sort', 'java.util.Comparator.comparingInt', 'java.util.Collections.reverse', 'java.util.Arrays.copyOf', 'java.lang.String.compareTo']",3,1
How do I format a long integer as a string without separator in Java,['java.lang.Long.toString'],"['java.lang.Integer.parseInt', 'java.text.DecimalFormat.format', 'java.lang.String.format', 'java.lang.Long.toHexString', 'java.lang.Long.valueOf', 'java.lang.Integer.valueOf', 'java.lang.StringBuilder.append', 'java.lang.String.toCharArray', 'java.lang.Long.intValue', 'java.lang.Long.parseLong']",-1,-1
How to get system time in Java without creating a new Date,"['java.lang.System.currentTimeMillis', 'java.util.Date.setTime']","['java.util.TimeZone.getDefault', 'java.time.LocalDate.now', 'java.lang.System.currentTimeMillis', 'java.time.LocalDateTime.now', 'java.time.ZonedDateTime.now', 'java.util.Calendar.getInstance', 'java.time.OffsetDateTime.now', 'java.time.Instant.now', 'java.time.ZonedDateTime.of', 'java.util.GregorianCalendar.setGregorianChange']",3,6
Comparing strings with == which are declared final in Java,['java.lang.String.intern'],"['java.util.Arrays.equals', 'java.lang.String.equals', 'java.lang.String.intern', 'java.lang.Integer.equals', 'java.util.List.equals', 'java.util.Arrays.toString', 'java.lang.Long.valueOf', 'java.lang.Integer.valueOf', 'java.lang.Object.equals', 'java.lang.String.equalsIgnoreCase']",3,1
How to sort file names in ascending order,"['java.util.Collections.sort', 'java.util.Arrays.sort']","['java.util.Collections.reverseOrder', 'java.util.Collections.sort', 'java.lang.System.arraycopy', 'java.util.Collections.reverse', 'java.util.stream.Collectors.toList', 'java.util.Arrays.sort', 'java.lang.String.compareTo', 'java.lang.Comparable.compareTo', 'java.util.stream.IntStream.collect', 'java.lang.Integer.valueOf']",2,1
How to get all possible values of an enum in java? (not knowing the specific Enum),['java.lang.Class.getEnumConstants'],"['java.lang.Enum.valueOf', 'java.lang.Class.getEnumConstants', 'java.util.EnumSet.allOf', 'java.lang.Class.isEnum', 'java.util.Arrays.fill', 'java.util.EnumSet.of', 'java.lang.Class.isInstance', 'java.util.EnumSet.range', 'java.lang.Class.getDeclaredConstructors', 'java.lang.Enum.name']",2,2
Best way to exit a program when I want an exception to be thrown,['java.lang.System.exit'],"['java.lang.Runtime.addShutdownHook', 'javax.swing.JFrame.setDefaultCloseOperation', 'java.lang.Thread.interrupt', 'java.nio.file.Path.toAbsolutePath', 'java.awt.event.WindowListener.windowClosing', 'java.util.concurrent.Future.get', 'java.lang.Thread.currentThread', 'java.util.concurrent.Future.isCancelled', 'java.lang.System.exit', 'java.lang.Thread.stop']",9,2
Double value to round up in Java,['java.lang.Double.parseDouble'],"['java.math.BigDecimal.setScale', 'java.lang.Math.round', 'java.lang.Math.ceil', 'java.lang.Number.intValue', 'java.lang.Math.floor', 'java.math.BigDecimal.valueOf', 'java.lang.Double.toString', 'java.text.DecimalFormat.setRoundingMode', 'java.math.BigDecimal.divide', 'java.lang.Double.valueOf']",-1,-1
Make a negative number positive,['java.lang.Math.abs'],"['java.lang.Math.pow', 'java.lang.Math.abs', 'java.lang.Math.cbrt', 'java.lang.Math.min', 'java.lang.Float.floatToRawIntBits', 'java.lang.Integer.parseInt', 'java.lang.Float.floatToIntBits', 'java.lang.String.indexOf', 'java.lang.String.compareTo', 'java.util.Arrays.sort']",2,1
How to get the insert ID in JDBC,"['java.sql.Statement.getGeneratedKeys', 'java.sql.Statement.RETURN']","['java.sql.Connection.prepareStatement', 'java.sql.DatabaseMetaData.getUserName', 'java.sql.Statement.getGeneratedKeys', 'java.sql.Statement.executeUpdate', 'java.sql.Connection.getMetaData', 'java.sql.Connection.getSchema', 'java.sql.PreparedStatement.setTime', 'java.sql.PreparedStatement.setTimestamp', 'java.sql.PreparedStatement.setObject', 'java.sql.PreparedStatement.setDate']",3,2
Checking for a null int value from a Java ResultSet,['java.sql.ResultSet.getInt'],"['java.sql.ResultSet.getLong', 'java.util.Optional.ofNullable', 'java.sql.ResultSet.first', 'java.sql.ResultSet.isBeforeFirst', 'java.sql.ResultSet.next', 'java.lang.Integer.parseInt', 'java.lang.Integer.toString', 'java.lang.Integer.valueOf', 'java.util.Objects.isNull', 'java.lang.String.valueOf']",-1,-1
How to check if internet connection is present in java,"['java.net.InetAddress.isReachable', 'java.net.URL.openConnection']","['java.net.InetAddress.getByName', 'java.net.InetAddress.isReachable', 'java.sql.DriverManager.getConnection', 'java.awt.Desktop.isSupported', 'java.lang.Class.forName', 'java.util.Locale.getDefault', 'java.sql.Connection.isValid', 'java.sql.Connection.close', 'java.net.ServerSocket.accept', 'java.nio.file.Files.exists']",2,2
Add elements to a List while iterating over it. (Java),['java.util.List.listIterator'],"['java.util.List.iterator', 'java.util.List.listIterator', 'java.util.HashMap.values', 'java.util.ArrayList.set', 'java.util.Iterator.next', 'java.util.List.get', 'java.util.Collection.iterator', 'java.util.Iterator.remove', 'java.util.LinkedList.listIterator', 'java.util.Map.entrySet']",2,1
How to name a variable that is a copy of a parameter,['java.util.Arrays.copyOf'],"['java.lang.Class.getDeclaredField', 'java.lang.Class.getField', 'java.lang.System.arraycopy', 'java.util.Arrays.copyOf', 'java.lang.Class.isInstance', 'java.lang.reflect.Field.get', 'java.lang.Class.forName', 'java.lang.String.format', 'java.lang.Object.clone', 'java.lang.reflect.Field.set']",4,4
Equals operator for zeros (BigDecimal / Double) in Java,['java.math.BigDecimal.equals'],"['java.lang.Double.compareTo', 'java.lang.Math.ceil', 'java.lang.Double.compare', 'java.math.BigDecimal.equals', 'java.lang.Integer.valueOf', 'java.lang.Math.abs', 'java.lang.Double.equals', 'java.lang.Math.floor', 'java.math.BigDecimal.stripTrailingZeros', 'java.lang.Math.round']",4,9
java: How to fix the Unchecked cast warning,['java.lang.Class.cast'],"['java.lang.Class.asSubclass', 'java.lang.Integer.parseInt', 'java.lang.Class.cast', 'java.lang.Class.forName', 'null', 'java.util.Collections.shuffle', 'null', 'null', 'java.lang.String.isEmpty', 'null']",3,2
How to get string value from a Java field via reflection,['java.lang.reflect.Field.get'],"['java.util.Map.entrySet', 'java.lang.reflect.Field.get', 'java.lang.Class.getDeclaredConstructors', 'java.lang.Class.getDeclaredConstructor', 'java.lang.reflect.Field.getType', 'java.lang.reflect.Array.get', 'java.lang.reflect.Field.set', 'java.lang.Class.getDeclaredFields', 'java.lang.reflect.Field.getModifiers', 'java.lang.reflect.Array.set']",2,1
How can I stop a Java while loop from eating >50% of my CPU,"['java.lang.Thread.sleep', 'java.lang.System.currentTimeMillis']","['java.lang.Thread.stop', 'java.lang.Object.wait', 'java.lang.Thread.suspend', 'java.lang.Thread.sleep', 'java.lang.Thread.interrupt', 'java.lang.Object.notifyAll', 'java.lang.Thread.interrupted', 'java.lang.System.currentTimeMillis', 'java.lang.Thread.isInterrupted', 'java.util.Collections.synchronizedList']",4,4
Convert Set to List without creating new List,['java.util.List.addAll'],"['java.util.EnumSet.allOf', 'java.util.List.toArray', 'java.util.Set.toArray', 'java.util.Collections.list', 'java.util.Arrays.toString', 'java.util.Collections.unmodifiableList', 'java.util.Iterator.next', 'java.util.Arrays.asList', 'java.util.Map.keySet', 'java.util.stream.Collectors.toList']",-1,-1
How can I abort a running JDBC transaction,"['java.sql.Connection.rollback', 'java.sql.Statement.cancel']","['java.sql.Connection.abort', 'java.lang.Thread.stop', 'java.sql.Connection.prepareStatement', 'java.sql.Connection.commit', 'java.sql.Connection.createStatement', 'java.sql.Statement.executeBatch', 'java.lang.Thread.suspend', 'java.sql.Statement.setQueryTimeout', 'java.lang.Thread.interrupted', 'java.lang.Thread.interrupt']",-1,-1
How Object objects return Strings? (Java),['java.lang.Object.toString'],"['java.lang.Class.getName', 'java.lang.String.valueOf', 'java.lang.Object.toString', 'java.lang.String.equals', 'java.lang.Integer.valueOf', 'java.util.List.remove', 'java.util.Arrays.toString', 'java.lang.Class.forName', 'java.lang.Integer.parseInt', 'java.lang.Class.isInstance']",3,9
"How to wait for all threads to finish, using ExecutorService","['java.util.concurrent.ExecutorService.awaitTermination', 'java.util.concurrent.ExecutorService.shutdown']","['java.lang.Thread.join', 'java.util.concurrent.ExecutorService.shutdownNow', 'java.util.concurrent.ExecutorService.shutdown', 'java.util.concurrent.Future.get', 'java.util.concurrent.ExecutorService.awaitTermination', 'java.util.concurrent.ThreadPoolExecutor.shutdown', 'java.util.concurrent.Executors.newFixedThreadPool', 'java.util.concurrent.ExecutorService.submit', 'java.util.concurrent.Future.cancel', 'java.util.concurrent.Executors.newSingleThreadExecutor']",3,4
How to Convert a Java 8 Stream to an Array,['java.util.stream.Stream.toArray'],"['java.lang.Integer.valueOf', 'java.util.Arrays.stream', 'java.util.stream.Stream.toArray', 'java.util.stream.Stream.generate', 'java.util.stream.Stream.of', 'java.util.stream.IntStream.boxed', 'java.util.stream.LongStream.mapToObj', 'java.util.stream.IntStream.asLongStream', 'java.util.Arrays.toString', 'java.nio.file.Files.lines']",3,3
Instantiating an inner class,['java.lang.Class.newInstance'],"['java.lang.Class.getConstructor', 'java.lang.Class.newInstance', 'java.lang.Class.getConstructors', 'java.lang.Class.getDeclaringClass', 'java.lang.System.currentTimeMillis', 'java.lang.Class.getDeclaredConstructor', 'java.lang.reflect.Constructor.newInstance', 'java.lang.Class.getDeclaredMethods', 'java.util.Arrays.toString', 'java.lang.reflect.AccessibleObject.setAccessible']",2,4
Test if a string contains any of the strings from an array,['java.lang.String.matches'],"['java.lang.String.indexOf', 'java.lang.String.matches', 'java.lang.String.contains', 'java.util.List.containsAll', 'java.util.Arrays.equals', 'java.util.Arrays.toString', 'java.util.Arrays.binarySearch', 'java.util.Arrays.asList', 'java.lang.String.toCharArray', 'java.lang.String.valueOf']",2,10
java hashmap key iteration,"['java.util.Map.keySet', 'java.util.Map.entrySet', 'java.util.Map.values']","['java.util.NavigableMap.subMap', 'java.util.Map.values', 'java.util.stream.Collectors.toMap', 'java.util.Map.containsKey', 'java.util.HashMap.entrySet', 'java.lang.Object.hashCode', 'java.util.Map.keySet', 'java.lang.System.identityHashCode', 'java.util.Collection.toArray', 'java.util.List.equals']",2,1
Merge 3 arraylist to one,"['java.util.Arrays.asList', 'java.util.stream.Stream.collect', 'java.util.ArrayList.addAll']","['java.util.Arrays.sort', 'java.util.Arrays.asList', 'java.lang.System.arraycopy', 'java.util.Collections.sort', 'java.util.List.subList', 'java.util.Collections.shuffle', 'java.util.List.add', 'java.util.Set.toArray', 'java.util.ArrayList.addAll', 'java.util.Map.merge']",2,8
Combine stream of Collections into one Collection - Java 8,['java.util.stream.Stream.flatMap'],"['java.util.stream.Stream.of', 'java.util.stream.Stream.concat', 'java.util.stream.Stream.collect', 'java.util.concurrent.CopyOnWriteArrayList.spliterator', 'java.util.stream.Collectors.toList', 'java.util.stream.Stream.flatMap', 'java.util.stream.Collectors.toMap', 'java.util.stream.Collectors.groupingBy', 'java.util.stream.Collectors.mapping', 'java.util.stream.Stream.map']",6,1
Accessing non-visible classes with reflection,['java.lang.Class.forName'],"['java.lang.Class.getDeclaredClasses', 'java.lang.Class.getDeclaredFields', 'java.lang.Class.getDeclaredMethod', 'java.lang.reflect.Constructor.newInstance', 'java.lang.Object.clone', 'java.lang.Class.forName', 'java.lang.Class.getConstructor', 'java.lang.Class.newInstance', 'java.lang.reflect.Field.get', 'java.lang.Class.getMethod']",6,5
Append relative URL to java.net.URL,['java.net.URL.toURI'],"['java.net.URL.getPath', 'java.io.File.toURL', 'java.net.URL.equals', 'java.net.URL.setURLStreamHandlerFactory', 'java.lang.Class.getResource', 'java.lang.ClassLoader.findResource', 'java.net.URL.openStream', 'java.nio.file.Paths.get', 'java.lang.Integer.parseInt', 'java.nio.file.Path.relativize']",-1,-1
How to convert BigDecimal to Double in Java,['java.math.BigDecimal.doubleValue'],"['java.math.BigDecimal.valueOf', 'java.math.BigDecimal.intValue', 'java.lang.Double.toString', 'java.math.BigDecimal.intValueExact', 'java.lang.Integer.valueOf', 'java.lang.Float.toString', 'java.text.DecimalFormat.setParseBigDecimal', 'java.lang.Integer.toString', 'java.lang.String.valueOf', 'java.lang.Double.parseDouble']",-1,-1
How to add new System Properties in java,['java.lang.System.setProperty'],"['java.lang.System.setProperties', 'java.lang.SecurityManager.checkPropertyAccess', 'java.lang.System.getProperties', 'java.lang.System.getenv', 'java.lang.System.setProperty', 'java.lang.System.getProperty', 'java.lang.System.clearProperty', 'java.nio.file.Files.newByteChannel', 'java.lang.ProcessBuilder.environment', 'java.nio.channels.FileChannel.open']",5,3
Java: function for arrays like PHP's join(),['java.lang.String.join'],"['java.util.Arrays.asList', 'java.lang.String.join', 'java.lang.Thread.join', 'java.lang.Integer.valueOf', 'java.text.MessageFormat.format', 'java.util.Arrays.binarySearch', 'java.lang.Thread.run', 'java.util.Arrays.sort', 'javax.swing.SwingUtilities.invokeLater', 'java.util.regex.Matcher.find']",2,1
How can I find whitespace space in a String,['java.lang.String.matches'],"['java.lang.String.indexOf', 'java.lang.String.matches', 'java.lang.String.split', 'java.lang.Character.isSpaceChar', 'java.lang.String.toCharArray', 'java.lang.Byte.parseByte', 'java.lang.Short.parseShort', 'java.util.Arrays.toString', 'java.lang.StringBuilder.append', 'java.lang.String.replaceAll']",2,6
How can I measure the speed of code written in Java? (AI algorithms),['java.lang.System.currentTimeMillis'],"['java.lang.Thread.sleep', 'java.lang.System.0oTime', 'java.lang.System.currentTimeMillis', 'java.lang.Integer.parseInt', 'java.lang.Math.random', 'java.util.Arrays.sort', 'java.lang.Runtime.availableProcessors', 'java.lang.Integer.valueOf', 'java.lang.Math.log', 'java.lang.System.gc']",3,2
Set specific precision of a BigDecimal,['java.math.BigDecimal.setScale'],"['java.math.BigDecimal.precision', 'java.math.BigDecimal.scale', 'java.math.BigDecimal.toPlainString', 'java.math.BigDecimal.unscaledValue', 'java.math.BigDecimal.add', 'java.math.BigDecimal.valueOf', 'java.math.BigDecimal.divide', 'java.math.BigDecimal.intValue', 'java.lang.Double.toString', 'java.lang.Math.round']",-1,-1
how to check if string contains '+' character,['java.lang.String.contains'],"['java.lang.Character.isLetterOrDigit', 'java.lang.String.contains', 'java.lang.String.trim', 'java.lang.Long.parseLong', 'java.lang.String.equals', 'java.lang.Double.valueOf', 'java.lang.String.toCharArray', 'java.lang.String.split', 'java.lang.Integer.parseInt', 'java.lang.String.indexOf']",2,1
best way to reverse bytes in an int in java,"['java.lang.Integer.reverse', 'java.lang.Double.doubleToLongBits', 'java.lang.Float.floatToIntBits', 'java.lang.Integer.reverseBytes']","['java.util.Collections.reverse', 'java.lang.Byte.toUnsignedInt', 'java.lang.Integer.reverse', 'java.lang.Integer.valueOf', 'java.lang.Byte.toUnsignedLong', 'java.util.Collections.reverseOrder', 'java.lang.String.valueOf', 'java.lang.StringBuilder.append', 'java.lang.StringBuilder.reverse', 'java.util.Arrays.binarySearch']",3,2
Defensive copy of Calendar,['java.util.Calendar.getInstance'],"['java.time.LocalDate.plusWeeks', 'java.time.LocalDate.minusWeeks', 'java.util.Calendar.clone', 'java.lang.Object.clone', 'java.util.Calendar.add', 'java.util.Arrays.copyOf', 'java.lang.System.arraycopy', 'java.util.Calendar.get', 'java.time.LocalDate.now', 'java.util.GregorianCalendar.add']",-1,-1
Get MAC address on local machine with Java,"['java.net.NetworkInterface.getHardwareAddress', 'java.net.NetworkInterface.getNetworkInterfaces']","['java.net.InetAddress.getLocalHost', 'java.util.Locale.getDefault', 'java.net.InetAddress.getHostName', 'java.net.NetworkInterface.getNetworkInterfaces', 'java.net.InetAddress.getAllByName', 'java.net.Socket.bind', 'java.net.InetAddress.getByName', 'java.io.File.listRoots', 'java.net.InetAddress.getHostAddress', 'java.net.InetAddress.getCanonicalHostName']",4,4
